employee_id,employee_name,store_id,role,hourly_wage_mxn,scheduled_hours,regular_hours,overtime_hours,regular_cost_mxn,overtime_penalty_cost_mxn,total_labor_cost_mxn
E00001,Dra. María Cristina Merino,S001,Floor,70,56,48,8,3360,1120.0,4480.0
E00002,Sr. Ernesto Fonseca,S001,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00003,Pilar Roldán,S001,Cashier,75,56,48,8,3600,1200.0,4800.0
E00004,Sra. Florencia Terrazas,S001,Floor,70,56,48,8,3360,1120.0,4480.0
E00005,Ing. Jacinto Palacios,S001,Stock,65,56,48,8,3120,1040.0,4160.0
E00006,Benjamín José Eduardo Alejandro Arellano,S001,Cashier,75,56,48,8,3600,1200.0,4800.0
E00007,Ana María Ontiveros,S001,Cashier,75,56,48,8,3600,1200.0,4800.0
E00008,Srita. Guadalupe Garza,S001,Stock,65,56,48,8,3120,1040.0,4160.0
E00009,Guadalupe Barraza,S001,Stock,65,56,48,8,3120,1040.0,4160.0
E00010,Citlali Claudia Olmos,S001,Stock,65,56,48,8,3120,1040.0,4160.0
E00011,Abigail Suárez Tejeda,S001,Cashier,75,56,48,8,3600,1200.0,4800.0
E00012,Liliana Hernandes,S001,Stock,65,40,40,0,2600,0.0,2600.0
E00013,Abigail Borrego,S001,Floor,70,56,48,8,3360,1120.0,4480.0
E00014,Guadalupe Irma Olivo Ballesteros,S001,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00015,Isabel Ramón,S001,Cashier,75,56,48,8,3600,1200.0,4800.0
E00016,Eugenia Elvia Cuellar,S001,Cashier,75,56,48,8,3600,1200.0,4800.0
E00017,Israel Lozano,S001,Cashier,75,56,48,8,3600,1200.0,4800.0
E00018,César Eugenio Valverde,S001,Cashier,75,56,48,8,3600,1200.0,4800.0
E00019,Arturo Hernán Rosario,S001,Stock,65,16,16,0,1040,0.0,1040.0
E00020,Roberto Fernando Salgado,S001,Stock,65,8,8,0,520,0.0,520.0
E00021,Rodolfo Horacio Sisneros Estrada,S001,Stock,65,8,8,0,520,0.0,520.0
E00022,José Muro Rivera,S001,Floor,70,56,48,8,3360,1120.0,4480.0
E00024,Porfirio Omar Ponce,S001,Cashier,75,56,48,8,3600,1200.0,4800.0
E00027,Juan Carlos Bernardo Hernández,S001,Floor,70,56,48,8,3360,1120.0,4480.0
E00030,Arturo Alonso Berríos Rosales,S001,Cashier,75,48,48,0,3600,0.0,3600.0
E00031,Lorenzo Leonardo Camarillo Carreón,S001,Floor,70,56,48,8,3360,1120.0,4480.0
E00032,Carmen María Teresa Medrano,S001,Floor,70,56,48,8,3360,1120.0,4480.0
E00033,Mitzy Esparza Puente,S001,Cashier,75,40,40,0,3000,0.0,3000.0
E00034,Joaquín Sauceda,S001,Floor,70,40,40,0,2800,0.0,2800.0
E00035,Ángela Collazo,S001,Cashier,75,32,32,0,2400,0.0,2400.0
E00037,José Eduardo Alfonso Nava,S001,Floor,70,24,24,0,1680,0.0,1680.0
E00038,Lic. Tomás Torres,S001,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00039,Julio César Uriel Monroy,S001,Cashier,75,16,16,0,1200,0.0,1200.0
E00040,Ing. Alvaro Urrutia,S001,Cashier,75,8,8,0,600,0.0,600.0
E00041,Hermelinda Yeni Pulido,S001,Cashier,75,8,8,0,600,0.0,600.0
E00042,Manuel Mercado,S001,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00043,Héctor Miguel Balderas Franco,S001,Floor,70,16,16,0,1120,0.0,1120.0
E00044,Sr. René Tamez,S001,Customer Service,85,56,48,8,4080,1360.0,5440.0
