employee_id,store_id,employee_name,role,hourly_wage_mxn,max_weekly_hours
E00001,S001,Dra. María Cristina Merino,Floor,70,48
E00002,S001,Sr. Ernesto Fonseca,Customer Service,85,48
E00003,S001,Pilar Roldán,Cashier,75,48
E00004,S001,Sra. Florencia Terrazas,Floor,70,48
E00005,S001,Ing. Jacinto Palacios,Stock,65,48
E00006,S001,Benjamín José Eduardo Alejandro Arellano,Cashier,75,48
E00007,S001,Ana María Ontiveros,Cashier,75,48
E00008,S001,Srita. Guadalupe Garza,Stock,65,48
E00009,S001,Guadalupe Barraza,Stock,65,48
E00010,S001,Citlali Claudia Olmos,Stock,65,48
E00011,S001,Abigail Suárez Tejeda,Cashier,75,48
E00012,S001,Liliana Hernandes,Stock,65,48
E00013,S001,Abigail Borrego,Floor,70,48
E00014,S001,Guadalupe Irma Olivo Ballesteros,Supervisor,120,48
E00015,S001,Isabel Ramón,Cashier,75,48
E00016,S001,Eugenia Elvia Cuellar,Cashier,75,48
E00017,S001,Israel Lozano,Cashier,75,48
E00018,S001,César Eugenio Valverde,Cashier,75,48
E00019,S001,Arturo Hernán Rosario,Stock,65,48
E00020,S001,Roberto Fernando Salgado,Stock,65,48
E00021,S001,Rodolfo Horacio Sisneros Estrada,Stock,65,48
E00022,S001,José Muro Rivera,Floor,70,48
E00023,S001,Elvira Muñiz Cepeda,Stock,65,48
E00024,S001,Porfirio Omar Ponce,Cashier,75,48
E00025,S001,Sr. Benito Berríos,Stock,65,48
E00026,S001,Maximiliano Laureano Alcala,Stock,65,48
E00027,S001,Juan Carlos Bernardo Hernández,Floor,70,48
E00028,S001,Eugenio Francisco Muñiz Valdivia,Stock,65,48
E00029,S001,Daniel Cepeda,Stock,65,48
E00030,S001,Arturo Alonso Berríos Rosales,Cashier,75,48
E00031,S001,Lorenzo Leonardo Camarillo Carreón,Floor,70,48
E00032,S001,Carmen María Teresa Medrano,Floor,70,48
E00033,S001,Mitzy Esparza Puente,Cashier,75,48
E00034,S001,Joaquín Sauceda,Floor,70,48
E00035,S001,Ángela Collazo,Cashier,75,48
E00036,S001,Esperanza Mercedes Lara,Stock,65,48
E00037,S001,José Eduardo Alfonso Nava,Floor,70,48
E00038,S001,Lic. Tomás Torres,Customer Service,85,48
E00039,S001,Julio César Uriel Monroy,Cashier,75,48
E00040,S001,Ing. Alvaro Urrutia,Cashier,75,48
E00041,S001,Hermelinda Yeni Pulido,Cashier,75,48
E00042,S001,Manuel Mercado,Supervisor,120,48
E00043,S001,Héctor Miguel Balderas Franco,Floor,70,48
E00044,S001,Sr. René Tamez,Customer Service,85,48
E00045,S001,Camilo Juan Carlos Benavídez Murillo,Cashier,75,48
E00046,S001,Nicolás Bétancourt Lozada,Floor,70,48
E00047,S001,Evelio Santiago Rascón,Cashier,75,48
E00048,S001,Héctor Gonzalo Irizarry Molina,Cashier,75,48
E00049,S001,Jacobo Hurtado Miranda,Supervisor,120,48
E00050,S001,Timoteo Acosta Velasco,Floor,70,48
E00051,S001,Lic. Francisco Uribe,Cashier,75,48
E00052,S001,Abelardo Granado,Supervisor,120,48
E00053,S001,Daniela Fabiola Grijalva,Floor,70,48
E00054,S001,Clara Oquendo,Stock,65,48
E00055,S001,Cristal Conchita Zúñiga Rael,Stock,65,48
E00056,S001,Aurelio Aparicio Pulido,Floor,70,48
E00057,S001,Diana Téllez Sevilla,Stock,65,48
E00058,S001,Soledad Mercedes Tamayo Ruiz,Floor,70,48
E00059,S001,Ing. Socorro Zavala,Customer Service,85,48
E00060,S001,Lic. Eugenia Casares,Stock,65,48
E00061,S001,Timoteo Abelardo Merino,Floor,70,48
E00062,S001,Rufino Dávila García,Supervisor,120,48
E00063,S001,Rebeca de Anda,Floor,70,48
E00064,S001,Gerónimo Gabino Urías Reyna,Stock,65,48
E00065,S001,Emilia Sara Colunga Villanueva,Floor,70,48
E00066,S001,Celia Florencia Fuentes Solano,Stock,65,48
E00067,S001,Helena Natalia Ontiveros Zedillo,Stock,65,48
E00068,S001,Dr. Claudio Henríquez,Floor,70,48
E00069,S001,Úrsula Orta,Floor,70,48
E00070,S001,Dr. Ernesto Niño,Supervisor,120,48
E00071,S001,Luis Andrés Aponte Manzanares,Supervisor,120,48
E00072,S001,Jos Navarro Menéndez,Cashier,75,48
E00073,S001,Lorena Teresa Cruz Zayas,Stock,65,48
E00074,S001,Maximiliano Darío Zayas Fuentes,Cashier,75,48
E00075,S001,Dolores Berta Calderón Véliz,Cashier,75,48
E00076,S001,Zeferino Marco Antonio Montes Robledo,Floor,70,48
E00077,S001,Jaime Eugenio Sánchez,Cashier,75,48
E00078,S001,Lic. Socorro Corral,Customer Service,85,48
E00079,S001,Guillermina Hernandes,Cashier,75,48
E00080,S001,Francisca Yolanda Carrión,Customer Service,85,48
E00081,S002,Martha Guevara,Cashier,75,48
E00082,S002,Felix Germán Hidalgo,Stock,65,48
E00083,S002,Dulce María Andrea Aguirre,Stock,65,48
E00084,S002,Hugo Elias Montoya Rodríquez,Floor,70,48
E00085,S002,José Manuél Elias Matos Lemus,Floor,70,48
E00086,S002,Karina Matos,Stock,65,48
E00087,S002,Maximiliano Galindo Manzanares,Supervisor,120,48
E00088,S002,Rodolfo Jasso,Stock,65,48
E00089,S002,Eloisa Matos Rolón,Cashier,75,48
E00090,S002,Horacio Borrego Dávila,Stock,65,48
E00091,S002,Eugenio Castillo,Floor,70,48
E00092,S002,Dra. Rebeca Alfaro,Cashier,75,48
E00093,S002,Andrea Enríquez,Floor,70,48
E00094,S002,Miriam Berta Aranda,Stock,65,48
E00095,S002,Cristal Durán,Customer Service,85,48
E00096,S002,Daniel Angulo,Stock,65,48
E00097,S002,Dr. José Eduardo Rodarte,Customer Service,85,48
E00098,S002,Srita. Rosalia Cedillo,Cashier,75,48
E00099,S002,Minerva Narváez,Cashier,75,48
E00100,S002,Liliana Diana Cotto Romo,Floor,70,48
E00101,S002,Aldo Arturo Esquibel,Cashier,75,48
E00102,S002,Conchita Anabel Zamora,Floor,70,48
E00103,S002,Yuridia Corona de la O,Cashier,75,48
E00104,S002,Ing. Héctor Carrera,Customer Service,85,48
